code_colombus;code_mapped
MUTU;Multicolore
MVEC;Multicolore
MVEF;Multicolore
MVEM;Multicolore
MVIF;Multicolore
MVIM;Multicolore
MVRO;Rose
NACR;Blanc,Beige
NAOC;Bleu,Beige
NAOR;Orange,Beige
NARO;Rouge,Beige
NATA;Beige
NATU;Beige
NIL;Vert
NOBL;Noir,Blanc
NOCT;Bleu
NOEC;Noir,Beige
NOEU;Autres
NOIR;Noir
NOUG;Beige
NUIT;Bleu
OBJE;Multicolore
OCEA;Bleu
OPRG;Multicolore
OR;Jaune
ORAN;Orange
ORCL;Orange
ORFC;Rouge,Orange
ORFL;Orange
ORGR;Gris
ORMA;Orange,Multicolore,Marron
ORMO;Orange
OROG;Rouge
ORRG;Rouge,Multicolore
ORRO;Rose,Orange
ORVR;Vert,Orange,Multicolore
OSAN;Rouge,Orange
OXYD;Noir
P15;Pointure 15
P16;Pointure 16
P161;Pointure 16
P17;Pointure 17
P18;Pointure 18
P181;Pointure 18
P19;Pointure 19
P191;Pointure 19
P20;Pointure 20
P21;Pointure 21
P211;Pointure 21
P22;Pointure 22
P221;Pointure 22
P23;Pointure 23
P231;Pointure 23
P24;Pointure 24
P241;Pointure 24
P25;Pointure 25
P251;Pointure 25
P26;Pointure 26
P261;Pointure 26
P27;Pointure 27
P271;Pointure 27
P28;Pointure 28
P281;Pointure 28
P29;Pointure 29
P291;Pointure 29
P30;Pointure 30
P301;Pointure 30
P31;Pointure 31
P311;Pointure 31
P32;Pointure 32
P321;Pointure 32
P33;Pointure 33
P331;Pointure 33
P34;Pointure 34
P341;Pointure 34
P35;Pointure 35
P351;Pointure 35
P36;Pointure 36
P361;Pointure 36
P362;Pointure 36
P37;Pointure 37
P371;Pointure 37
P372;Pointure 37
P38;Pointure 38
P381;Pointure 38
P382;Pointure 38
PAIL;Jaune
PALM;Vert
PAON;Autres
PAOR;Violet,Rose,Orange,Multicolore
PAPI;Violet,Vert,Rose,Multicolore
PARM;Violet,Rose
PAST;Rouge,Rose
PAVE;Vert,Rose,Multicolore
PCBC;Autres
PERL;Gris
PERR;Vert
PETR;Bleu
PIER;Gris
PIS;Vert
PITA;Vert
PITU;Vert,Multicolore,Bleu
POMM;Vert
POUR;Rouge
PRCI;Violet,Bleu
PREC;Violet,Beige
PRPA;Violet,Rose
PRRS;Violet,Rose
PRSB;Violet,Beige
PRUN;Violet
RAY6;Bleu
ROBA;Rose
ROBE;Rose,Bleu
ROC2;Rose
ROCL;Rouge,Rose
ROF2;Rouge,Rose
ROFC;Rouge
ROFL;Rose
ROGR;Rose,Gris
ROIN;Rouge,Rose
ROM2;Rose
ROMO;Rouge
ROND;Multicolore
ROSE;Rose
ROSP;Rose
ROUA;Rouge
ROUC;Rouge
ROUG;Rouge
ROUI;Rouge
ROVE;Rouge
RSRG;Rouge,Rose
RUBL;Rouge
RUEC;Rouge
RUNO;Rouge,Noir
S;Autres
SABL;Beige
SABU;Bleu,Beige
SAFR;Orange,Jaune
SAHE;Rouge
SANT;Autres
SAPH;Bleu,Autres
SAPI;Vert
SAUM;Rose,Orange
SOLE;Jaune
SOPH;Bleu
SOUR;Gris
SPAH;Autres
STCA;Bleu
STON;Bleu
STRG;Rouge
T0;Autres
T01;Naissance,3 mois,1 mois
T02;6 mois,12 mois
