famille,age,sexe,attribute_set,,categories_es,categories_it
ASSIETTE,BEBE,F,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ASSIETTE,BEBE,G,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ASSIETTE,BEBE,M,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ASSIETTE,DPAM,F,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ASSIETTE,DPAM,G,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
ASSIETTE,DPAM,M,Vaisselle,,El Universo del Recién Nacido/La Puericultura/La Comida/Accesorios para la comida,L'universo del neonato/Articoli per bambini/La pappa/Accessori pappa
BAIGNADE_NU PIE,CHAUSSURES,F,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine
BAIGNADE_NU PIE,CHAUSSURES,G,Chaussures,,"Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambino/Ciabattine
BAIGNADE_NU PIE,CHAUSSURES,M,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa;;Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine;;Scarpe bambini/Bambino/Ciabattine
BAIGNADE_NU PIE,CHAUSSURES,F,Chaussures,,"Calzado Infantil/Niña/Chanclas, Playa",Scarpe bambini/Bambina/Ciabattine
BAIGNADE_NU PIE,CHAUSSURES,G,Chaussures,,"Calzado Infantil/Niño/Chanclas, Playa",Scarpe bambini/Bambino/Ciabattine
