famille;age;sexe;attribute_set;categories_fr
BLOOMER;BEBE;F;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Les Bas; Bébé Fille 3 à 23 mois/Jupes, Shorts, Bloomers"
BLOOMER;BEBE;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BLOOMER;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BLOOMER;DPAM;F;Vêtements;Bébé Fille 3 à 23 mois/Jupes, Shorts, Bloomers
BLOOMER;DPAM;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BLOOMER;DPAM;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
BLOUSON;BEBE;F;Vêtements;"Bébé Fille 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes;;La Naissance et tout autour/Vêtements Naissance/Les Hauts"
BLOUSON;BEBE;G;Vêtements;"Bébé garçon 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes;;La Naissance et tout autour/Vêtements Naissance/Les Hauts"
BLOUSON;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Hauts
BLOUSON;DPAM;F;Vêtements;Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons
BLOUSON;DPAM;G;Vêtements;Garçon 3 - 14 ans/Manteaux et blousons/Manteaux, vestes, blousons
BLOUSON;DPAM;M;Vêtements;"Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons;;Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons"
BOB;BEBE;F;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Accessoires; Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs"
BOB;BEBE;G;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Accessoires; Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bobs, casquettes"
BOB;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Accessoires
BOB;DPAM;F;Vêtements;Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux
BOB;DPAM;G;Vêtements;Garçon 3 - 14 ans/Accessoires garcon/Bobs, casquettes
BOB;DPAM;M;Vêtements;
BODY;BEBE;F;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
BODY;BEBE;G;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé garçon 3 à 23 mois/Bodies"
BODY;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY;DPAM;F;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY;DPAM;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY;DPAM;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY SOUS VET;BEBE;F;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
BODY SOUS VET;BEBE;G;Vêtements;"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé garçon 3 à 23 mois/Bodies"
BODY SOUS VET;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY SOUS VET;DPAM;F;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY SOUS VET;DPAM;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BODY SOUS VET;DPAM;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Bodies
BOITE A MUSIQUE;BEBE;F;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BOITE A MUSIQUE;BEBE;G;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BOITE A MUSIQUE;BEBE;M;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BOITE A MUSIQUE;DPAM;F;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BOITE A MUSIQUE;DPAM;G;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BOITE A MUSIQUE;DPAM;M;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil
BONNET;BEBE;F;Vêtements;"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants;;La Naissance et tout autour/Vêtements Naissance/Accessoires"
BONNET;BEBE;G;Vêtements;"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bonnets, écharpes, gants;;La Naissance et tout autour/Vêtements Naissance/Accessoires"
BONNET;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Accessoires
BONNET;DPAM;F;Vêtements;Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants
BONNET;DPAM;G;Vêtements;Garçon 3 - 14 ans/Accessoires garcon/Bonnets, écharpes, gants
BONNET;DPAM;M;Vêtements;"Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants;;Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants"
BONNET DE BAIN;BEBE;F;Vêtements;La Naissance et tout autour/La Puériculture/Le Bain/Accessoires
BONNET DE BAIN;BEBE;G;Vêtements;La Naissance et tout autour/La Puériculture/Le Bain/Accessoires
BONNET DE BAIN;BEBE;M;Vêtements;La Naissance et tout autour/La Puériculture/Le Bain/Accessoires
BONNET DE BAIN;DPAM;F;Vêtements;Fille 3 - 14 ans/Accessoires fille/Autres
BONNET DE BAIN;DPAM;G;Vêtements;Garçon 3 - 14 ans/Accessoires garcon/Autres
BONNET DE BAIN;DPAM;M;Vêtements;"Fille 3 - 14 ans/Accessoires fille/Autres;;Fille 3 - 14 ans/Accessoires fille/Autres"
BOULIER;BEBE;F;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BOULIER;BEBE;G;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BOULIER;BEBE;M;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BOULIER;DPAM;F;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BOULIER;DPAM;G;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BOULIER;DPAM;M;Jouets;La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles
BRACELET;BEBE;F;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET;BEBE;G;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET;BEBE;M;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET;DPAM;F;Default;Fille 3 - 14 ans/Accessoires fille/Bijoux
BRACELET;DPAM;G;Default;Garçon 3 - 14 ans/Accessoires garcon/Autres
BRACELET;DPAM;M;Default;Fille 3 - 14 ans/Accessoires fille/Bijoux
BRACELET+COLLIE;BEBE;F;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET+COLLIE;BEBE;G;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET+COLLIE;BEBE;M;Default;La Naissance et tout autour/Vêtements Naissance/Accessoires
BRACELET+COLLIE;DPAM;F;Default;Fille 3 - 14 ans/Accessoires fille/Bijoux
BRACELET+COLLIE;DPAM;G;Default;Garçon 3 - 14 ans/Accessoires garcon/Autres
BRACELET+COLLIE;DPAM;M;Default;Fille 3 - 14 ans/Accessoires fille/Bijoux
CABAN;BEBE;F;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Hauts
CABAN;BEBE;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Hauts
CABAN;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Hauts
CABAN;DPAM;F;Vêtements;Fille 3 - 14 ans/Sous-pulls, Pulls, Gilets, Sweats
CABAN;DPAM;G;Vêtements;Garçon 3 - 14 ans/Manteaux et blousons/Manteaux, vestes, blousons
CABAN;DPAM;M;Vêtements;
CAGOULE;BEBE;F;Vêtements;Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants
CAGOULE;BEBE;G;Vêtements;Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bonnets, écharpes, gants
CAGOULE;BEBE;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Accessoires
CAGOULE;DPAM;F;Vêtements;Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants
CAGOULE;DPAM;G;Vêtements;Garçon 3 - 14 ans/Accessoires garcon/Bonnets, écharpes, gants
CAGOULE;DPAM;M;Vêtements;La Naissance et tout autour/Vêtements Naissance/Accessoires
CALECON;BEBE;F;Vêtements;Bébé Fille 3 à 23 mois/Pantalons, Salopettes, Caleçons
CALECON;BEBE;G;Vêtements;La Naissance et tout autour/Vêtements Naissance/Les Bas
