famille;age;sexe;attribute_set;categories
"BAIGNOIRE";"DPAM";"G";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BAIGNOIRE";"DPAM";"M";"Hygiène et bain";"La Naissance et tout autour/La Puériculture/Le Bain/Baignoires et transats"
"BANDEAU";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards"
"BANDEAU";"BEBE";"G";"Vêtements";"A classer"
"BANDEAU";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bandeaux, fichus, foulards"
"BANDEAU";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BANDEAU";"DPAM";"G";"Vêtements";"A classer"
"BANDEAU";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BARRETTE";"BEBE";"F";"Default";"A classer"
"BARRETTE";"BEBE";"G";"Default";"A classer"
"BARRETTE";"BEBE";"M";"Default";"A classer"
"BARRETTE";"DPAM";"F";"Default";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BARRETTE";"DPAM";"G";"Default";"A classer"
"BARRETTE";"DPAM";"M";"Default";"Fille 3 - 14 ans/Accessoires fille/Accessoires cheveux"
"BAVOIR";"BEBE";"F";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"BEBE";"G";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"BEBE";"M";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"F";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"G";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BAVOIR";"DPAM";"M";"Textile";"La Naissance et tout autour/La Puériculture/Les Repas/Bavoirs, langes"
"BERMUDA";"BEBE";"F";"Vêtements";"A classer"
"BERMUDA";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Bermudas, shorts"
"BERMUDA";"BEBE";"M";"Vêtements";"A classer"
"BERMUDA";"DPAM";"F";"Vêtements";"A classer"
"BERMUDA";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Bermudas, shorts"
"BERMUDA";"DPAM";"M";"Vêtements";"A classer"
"BIBERON";"BEBE";"F";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"BEBE";"G";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"BEBE";"M";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"F";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"G";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BIBERON";"DPAM";"M";"Biberonnerie";"La Naissance et tout autour/La Puériculture/Les Repas/Biberonnerie"
"BLOOMER";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Jupes, Shorts, Bloomers"
"BLOOMER";"BEBE";"G";"Vêtements";"A classer"
"BLOOMER";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Jupes, Shorts, Bloomers"
"BLOOMER";"DPAM";"F";"Vêtements";"A classer"
"BLOOMER";"DPAM";"G";"Vêtements";"A classer"
"BLOOMER";"DPAM";"M";"Vêtements";"A classer"
"BLOUSON";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes"
"BLOUSON";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes"
"BLOUSON";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes;;Bébé Fille 3 à 23 mois/Manteaux, blousons/Imperméables, parkas, vestes"
"BLOUSON";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons"
"BLOUSON";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Manteaux et blousons/Vestes, blousons"
"BLOUSON";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons;;Fille 3 - 14 ans/Manteaux et blousons/Vestes, blousons"
"BOB";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs"
"BOB";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bobs, casquettes"
"BOB";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs;;Bébé Fille 3 à 23 mois/Accessoires bébé fille/Chapeaux, bobs"
"BOB";"DPAM";"F";"Vêtements";"A classer"
"BOB";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Bobs, casquettes"
"BOB";"DPAM";"M";"Vêtements";"A classer"
"BODY";"BEBE";"F";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
"BODY";"BEBE";"G";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé garçon 3 à 23 mois/Bodies"
"BODY";"BEBE";"M";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
"BODY";"DPAM";"F";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BODY";"DPAM";"G";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BODY";"DPAM";"M";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BODY SOUS VET";"BEBE";"F";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
"BODY SOUS VET";"BEBE";"G";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé garçon 3 à 23 mois/Bodies"
"BODY SOUS VET";"BEBE";"M";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies;;Bébé Fille 3 à 23 mois/Bodies;;Bébé Fille 3 à 23 mois/Bodies"
"BODY SOUS VET";"DPAM";"F";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BODY SOUS VET";"DPAM";"G";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BODY SOUS VET";"DPAM";"M";"Vêtements";"La Naissance et tout autour/Vêtements Naissance/Bodies"
"BOITE A MUSIQUE";"BEBE";"F";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BOITE A MUSIQUE";"BEBE";"G";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BOITE A MUSIQUE";"BEBE";"M";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BOITE A MUSIQUE";"DPAM";"F";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BOITE A MUSIQUE";"DPAM";"G";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BOITE A MUSIQUE";"DPAM";"M";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Jouets musicaux et éveil"
"BONNET";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"BONNET";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bonnets, écharpes, gants"
"BONNET";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants;;Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"BONNET";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants"
"BONNET";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Bonnets, écharpes, gants"
"BONNET";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants;;Fille 3 - 14 ans/Accessoires fille/Bonnets, écharpes, gants"
"BONNET DE BAIN";"BEBE";"F";"Vêtements";"A classer"
"BONNET DE BAIN";"BEBE";"G";"Vêtements";"A classer"
"BONNET DE BAIN";"BEBE";"M";"Vêtements";"A classer"
"BONNET DE BAIN";"DPAM";"F";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Autres"
"BONNET DE BAIN";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Accessoires garcon/Autres"
"BONNET DE BAIN";"DPAM";"M";"Vêtements";"Fille 3 - 14 ans/Accessoires fille/Autres;;Fille 3 - 14 ans/Accessoires fille/Autres"
"BOULIER";"BEBE";"F";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BOULIER";"BEBE";"G";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BOULIER";"BEBE";"M";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BOULIER";"DPAM";"F";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BOULIER";"DPAM";"G";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BOULIER";"DPAM";"M";"Jouets";"La Naissance et tout autour/La Puériculture/Doudous et Jouets/Bouliers, Mobiles"
"BRACELET";"BEBE";"F";"Default";"A classer"
"BRACELET";"BEBE";"G";"Default";"A classer"
"BRACELET";"BEBE";"M";"Default";"A classer"
"BRACELET";"DPAM";"F";"Default";"Fille 3 - 14 ans/Accessoires fille/Bijoux"
"BRACELET";"DPAM";"G";"Default";"A classer"
"BRACELET";"DPAM";"M";"Default";"Fille 3 - 14 ans/Accessoires fille/Bijoux"
"BRACELET+COLLIER";"BEBE";"F";"Default";"A classer"
"BRACELET+COLLIER";"BEBE";"G";"Default";"A classer"
"BRACELET+COLLIER";"BEBE";"M";"Default";"A classer"
"BRACELET+COLLIER";"DPAM";"F";"Default";"Fille 3 - 14 ans/Accessoires fille/Bijoux"
"BRACELET+COLLIER";"DPAM";"G";"Default";"A classer"
"BRACELET+COLLIER";"DPAM";"M";"Default";"Fille 3 - 14 ans/Accessoires fille/Bijoux"
"CABAN";"BEBE";"F";"Vêtements";"A classer"
"CABAN";"BEBE";"G";"Vêtements";"A classer"
"CABAN";"BEBE";"M";"Vêtements";"A classer"
"CABAN";"DPAM";"F";"Vêtements";"A classer"
"CABAN";"DPAM";"G";"Vêtements";"Garçon 3 - 14 ans/Manteaux et blousons/Manteaux, vestes, blousons"
"CABAN";"DPAM";"M";"Vêtements";"A classer"
"CAGOULE";"BEBE";"F";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"CAGOULE";"BEBE";"G";"Vêtements";"Bébé garçon 3 à 23 mois/Accessoires bébé garcon/Bonnets, écharpes, gants"
"CAGOULE";"BEBE";"M";"Vêtements";"Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants;;Bébé Fille 3 à 23 mois/Accessoires bébé fille/Bonnets, écharpes, gants"
"CAGOULE";"DPAM";"F";"Vêtements";"A classer"
"CAGOULE";"DPAM";"G";"Vêtements";"A classer"
"CAGOULE";"DPAM";"M";"Vêtements";"A classer"
