attribute_id,attribute_code,label,store_code,store_id,EN,FR,ES,IT
287,ocp_toy_type,Toy type,admin,1,Toy type,Type de jouet,Tipo de juguete,Tipo di gioco
188,ocp_trucker_all,All trucker,admin,1,All trucker,Eligible tout transporteur,Elegible para todo transportista,Per tutti i tipi di trasporto
220,ocp_use,Use,admin,1,Use,Usage,Uso,Uso
247,ocp_uv_filter,UV filter,admin,1,UV filter,Anti Uv,Anti UV,Anti UV
262,ocp_uv_level,UV level,admin,1,UV level,Degré de protection UV,Grado de protección UV,Indice di protezione solare
190,ocp_warranty_comments,Warranty comments,admin,1,Warranty comments,Commentaire sur la garantie,Comentario sobre la garantía,Commento sulla garanzia
189,ocp_warranty_duration,Warranty duration,admin,1,Warranty duration,Durée de la garantie,Duración de garantía,Durata della garanzia
238,ocp_weight_max,Weight max,admin,1,Weight max,Poids maximum de l'enfant,Peso máximo del niño,Peso massimo del bambino
237,ocp_weight_min,Weight min,admin,1,Weight min,Poids minimum de l'enfant,Peso mínimo del niño,Peso minimo del bambino
183,ocp_weight_net,Weight net,admin,1,Weight net,Poids net,Peso neto,Peso netto
254,ocp_wheel_mesure,Wheel mesure,admin,1,Wheel mesure,Dimension roue,Dimensión del neumático,Dimensione ruota
228,ocp_width_closed,Width closed,admin,1,Width closed,Dimension fermé - largeur,Dimensión cerrada - ancho,Dimensione chiuso - larghezza
225,ocp_width_open,Width open,admin,1,Width open,Dimension ouvert - largeur,Dimensión abierta - ancho,Dimensione aperto - larghezza
83,old_id,old_id,admin,0,old_id,Ancienne ID,ID precedente,ID precedente
130,open_amount_max,Open Amount Max Value,admin,0,Open Amount Max Value,Montant libre maximum,Máxima aportación libre,Massimo importo libero
129,open_amount_min,Open Amount Min Value,admin,0,Open Amount Min Value,Montant libre minimum,Mínima aportación libre,Minimo importo libero
102,options_container,Display Product Options In,admin,0,Display Product Options In,Afficher les options du produit,Display Product Options In,Display Product Options In
100,page_layout,Page Layout,admin,0,Page Layout,Layout de la page,Layout de la página,Layout della pagina
69,price,Price,admin,0,Price,Prix,Precio,Prezzo
117,price_type,price_type,admin,0,Price type,Type de prix,Price type,Tipo di prezzo
120,price_view,Price View,admin,0,Price View,Niveau de vue du prix,Price View,Price View
94,recurring_profile,Recurring Payment Profile,admin,0,Recurring Payment Profile,Détail de l'abonnement,Recurring Payment Profile,Recurring Payment Profile
